"criterion","rep","param","n_param","n_covered","pct","mean_width"
"Q3",1,"beta",30,19,63.3333333333333,0.971589817852266
"Q3",1,"dist",6000,4593,76.55,2.79056815081494
"Q3",1,"OVERALL",6180,4750,76.8608414239482,2.77753571908287
"Q3",2,"alpha",150,137,91.3333333333333,2.59788471821196
"Q3",2,"beta",30,19,63.3333333333333,0.995692206464097
"Q3",2,"dist",6000,4581,76.35,2.79246351231796
"Q3",2,"OVERALL",6180,4737,76.6504854368932,2.77901853524813
"Q3",3,"alpha",150,138,92,2.61254544458242
"Q3",3,"beta",30,19,63.3333333333333,0.97261223413618
"Q3",3,"dist",6000,4575,76.25,2.78943899124499
"Q3",3,"OVERALL",6180,4732,76.5695792880259,2.7763259111944
"Q3",4,"alpha",150,139,92.6666666666667,2.61821646462288
"Q3",4,"beta",30,19,63.3333333333333,0.990917257026995
"Q3",4,"dist",6000,4583,76.3833333333333,2.79179955788206
"Q3",4,"OVERALL",6180,4741,76.715210355987,2.77884422891531
"Q3",5,"alpha",150,140,93.3333333333333,2.61118668567174
"Q3",5,"beta",30,19,63.3333333333333,0.986136349541213
"Q3",5,"dist",6000,4576,76.2666666666667,2.79362338585713
"Q3",5,"OVERALL",6180,4735,76.6181229773463,2.78042110169576
"Q3",6,"alpha",150,137,91.3333333333333,2.620863189389
"Q3",6,"beta",30,19,63.3333333333333,0.97343857447119
"Q3",6,"dist",6000,4574,76.2333333333333,2.79140244032631
"Q3",6,"OVERALL",6180,4730,76.537216828479,2.77843807080912
"Q3",7,"alpha",150,139,92.6666666666667,2.60313017314278
"Q3",7,"beta",30,19,63.3333333333333,0.972153667541793
"Q3",7,"dist",6000,4577,76.2833333333333,2.7895334482843
"Q3",7,"OVERALL",6180,4735,76.6181229773463,2.77618686500056
"Q3",8,"alpha",150,139,92.6666666666667,2.6100491621221
"Q3",8,"beta",30,19,63.3333333333333,0.986965247530327
"Q3",8,"dist",6000,4576,76.2666666666667,2.78577859145741
"Q3",8,"OVERALL",6180,4734,76.6019417475728,2.77278121043506
"Q3",9,"alpha",150,139,92.6666666666667,2.60878046287357
"Q3",9,"beta",30,19,63.3333333333333,0.999900889852958
"Q3",9,"dist",6000,4581,76.35,2.79559654922475
"Q3",9,"OVERALL",6180,4739,76.6828478964401,2.78234520897656
"Q3",10,"alpha",150,139,92.6666666666667,2.60813194808387
"Q3",10,"beta",30,19,63.3333333333333,0.980550232681914
"Q3",10,"dist",6000,4583,76.3833333333333,2.78884408190637
"Q3",10,"OVERALL",6180,4741,76.715210355987,2.77567973958435
"Q4",1,"alpha",150,130,86.6666666666667,3.32925969637643
